Date,Open,High,Low,Close,Adj Close,Volume,New_Open,Difference,ave_5D,grad_5D,ave_20D,grad_20D
3/1/20,74.287498,75.144997,74.125,74.357498,73.068558,146322800,73.447502,-0.839996,73.847499,0.5190002,73.9735002,0.42524985
6/1/20,73.447502,74.989998,73.1875,74.949997,73.650795,118387200,74.959999,1.512497,74.2089996,0.3615006,74.4293752,0.455875
7/1/20,74.959999,75.224998,74.370003,74.597504,73.30442,108872000,74.290001,-0.669998,74.7589996,0.55,74.90050025,0.47112505
8/1/20,74.290001,76.110001,74.290001,75.797501,74.483604,132079200,76.809998,2.519997,75.4315004,0.6725008,75.35487495,0.4543747
9/1/20,76.809998,77.607498,76.550003,77.407501,76.065704,170108400,77.650002,0.840004,76.3240008,0.8925004,75.8222501,0.46737515
10/1/20,77.650002,78.167503,77.0625,77.582497,76.237679,140644800,77.910004,0.260002,77.1670016,0.8430008,76.26675005,0.44449995
13/1/20,77.910004,79.267502,77.787498,79.239998,77.86644,121532000,79.175003,1.264999,77.9015018,0.7345002,76.5822499,0.31549985
14/1/20,79.175003,79.392502,78.042503,78.169998,76.814995,161954400,77.962502,-1.212501,78.219002,0.3175002,76.85075005,0.26850015
15/1/20,77.962502,78.875,77.387497,77.834999,76.485794,121923600,78.397499,0.434997,78.502501,0.283499,77.2881253,0.43737525
16/1/20,78.397499,78.925003,78.022499,78.809998,77.443878,108829200,79.067497,0.669998,78.7800004,0.2774994,77.6707505,0.3826252
17/1/20,79.067497,79.684998,78.75,79.682503,78.301262,137816400,79.297501,0.230004,78.8739992,0.0939988,77.9793755,0.308625
21/1/20,79.297501,79.754997,79,79.142502,77.770638,110843200,79.644997,0.347496,79.1774994,0.3035002,78.06875045,0.08937495
22/1/20,79.644997,79.997498,79.327499,79.425003,78.048218,101832400,79.480003,-0.164994,79.5104996,0.3330002,78.3377503,0.26899985
23/1/20,79.480003,79.889999,78.912498,79.807503,78.42411,104472000,80.0625,0.582497,79.2,-0.3104996,78.6337502,0.2959999
24/1/20,80.0625,80.832497,79.379997,79.577499,78.198082,146537600,77.514999,-2.547501,78.9705002,-0.2294998,78.95137525,0.31762505
27/1/20,77.514999,77.942497,76.220001,77.237503,75.898643,161940000,78.150002,0.635003,79.2640014,0.2935012,79.1405003,0.18912505
28/1/20,78.150002,79.599998,78.047501,79.422501,78.045761,162234000,81.112503,2.962501,79.3950012,0.1309998,79.1852501,0.0447498
29/1/20,81.112503,81.962502,80.345001,81.084999,79.679459,216229200,80.135002,-0.977501,79.4290008,0.0339996,79.33475,0.1494999
30/1/20,80.135002,81.022499,79.6875,80.967499,79.563988,126743200,80.232498,0.097496,79.1410004,-0.2880004,79.39437485,0.05962485
31/1/20,80.232498,80.669998,77.072502,77.377502,76.036217,199588400,76.074997,-4.157501,79.2764998,0.1354994,79.5486248,0.15424995
3/2/20,76.074997,78.372498,75.555,77.165001,75.8274,173788400,78.827499,2.752502,79.2299986,-0.0465012,79.68799975,0.13937495
4/2/20,78.827499,79.910004,78.407501,79.712502,78.330727,136616400,80.879997,2.052498,79.3314986,0.1015,79.6766247,-0.01137505
5/2/20,80.879997,81.190002,79.737503,80.362503,78.969482,118826800,80.642502,-0.237495,79.4034988,0.0720002,79.71174965,0.03512495
6/2/20,80.642502,81.305,80.065002,81.302498,79.893181,105425600,80.592499,-0.050003,79.897499,0.4940002,79.76237485,0.0506252
